date,exit_date,symbol,side,entry,exit,stop,size,fees
2026-07-24T09:42:00,2026-07-24T09:52:00,AAPL,long,231.45,229.69,228.71,35,1.35
2026-07-24T12:46:00,2026-07-24T12:57:00,AMZN,long,226.41,224.57,223.81,35,
2026-07-24T13:42:00,2026-07-24T14:15:00,QQQ,short,557.56,560.76,561.71,15,1.00
2026-07-27T09:43:00,2026-07-27T10:23:00,AAPL,long,227.48,232.8,224.23,40,1.35
2026-07-28T09:45:00,2026-07-28T09:54:00,SPY,long,632.04,648.59,621.97,10,1.00
2026-07-28T12:25:00,2026-07-28T12:58:00,AMZN,long,227.53,231.47,224.83,40,1.35
2026-07-28T14:31:00,2026-07-28T14:44:00,TSLA,short,315.71,318.6,320.73,20,1.00
2026-07-28T14:49:00,2026-07-28T15:06:00,TSLA,short,315.86,313.64,319.03,40,1.35
2026-07-29T10:02:00,2026-07-29T10:34:00,TSLA,long,314.98,316.76,312.47,15,1.00
2026-07-29T11:58:00,2026-07-29T12:19:00,SPY,short,643.85,626.76,653.22,5,1.00
2026-07-29T13:40:00,2026-07-29T14:00:00,AMZN,long,222.22,227.6,220.18,40,1.35
2026-07-30T09:46:00,2026-07-30T10:15:00,SPY,long,638.6,655.72,631.85,5,1.00
2026-07-30T11:29:00,2026-07-30T12:07:00,META,long,753.84,760.76,747.05,10,1.00
2026-07-30T13:04:00,2026-07-30T13:23:00,SPY,long,643.72,639.09,635.69,5,1.00
2026-07-31T09:48:00,2026-07-31T10:01:00,META,long,744.09,756.9,737.08,5,
2026-08-03T10:14:00,2026-08-03T10:59:00,QQQ,short,557.58,545.59,564.03,15,1.00
2026-08-04T09:43:00,2026-08-04T10:17:00,SPY,long,637.49,628.31,628.19,15,1.00
2026-08-04T12:00:00,2026-08-04T12:23:00,SPY,long,633.96,627.5,627.28,15,1.00
2026-08-05T09:42:00,2026-08-05T10:32:00,META,long,743.5,759.4,731.89,10,1.00
2026-08-05T11:44:00,2026-08-05T12:11:00,TSLA,long,313.65,310.71,308.65,20,1.00
2026-08-06T09:59:00,2026-08-06T10:05:00,MSFT,long,499.78,494.16,493.87,15,1.00
2026-08-06T10:07:00,2026-08-06T10:24:00,MSFT,long,509.61,505.74,505.91,35,1.35
2026-08-06T13:10:00,2026-08-06T13:38:00,TSLA,short,314.8,317.93,318.14,15,1.00
2026-08-06T14:16:00,2026-08-06T14:48:00,AMZN,long,222.37,218.95,219.1,25,1.35
2026-08-07T10:13:00,2026-08-07T10:41:00,MSFT,long,511.8,515.77,508.39,10,1.00
2026-08-07T12:49:00,2026-08-07T13:02:00,AAPL,long,227.6,233.74,225.03,40,1.35
2026-08-07T14:08:00,2026-08-07T14:33:00,AMZN,short,224.01,226.33,226.45,25,1.35
2026-08-10T09:41:00,2026-08-10T09:55:00,AMZN,long,227.07,225.73,225.43,25,1.35
2026-08-11T09:57:00,2026-08-11T10:03:00,AMD,short,163.54,164.72,165.07,45,1.35
